Date,Time,Action,Description,Location,Agency,Service Type,Product,Amount,Balance
Nov-13-2024,03:27 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Nov-13-2024,03:11 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Nov-13-2024,11:19 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Nov-13-2024,11:03 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Nov-12-2024,07:41 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Nov-12-2024,07:33 PM,Usage,Pass Use On Entry,Churchill Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Nov-12-2024,07:31 PM,Usage,Pass Use On Exit,Churchill Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Nov-12-2024,06:58 PM,Usage,Pass Use On Entry,Mill Woods Stop,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Nov-12-2024,04:24 PM,Usage,Pass Use On Exit,Mill Woods Stop,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Nov-12-2024,03:53 PM,Usage,Pass Use On Entry,Churchill Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
